train/ent_coef_loss,train/ent_coef,time/episodes,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/learning_rate,rollout/success_rate,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps
-0.08319330215454102,0.9836166501045227,4,-4.088564872741699,39.25,56,0.0003,0.25,0.22008442878723145,157,-9.770667,4,32
-0.38349536061286926,0.9263598918914795,8,-4.931406021118164,44.625,256,0.0003,0.125,0.09593959152698517,357,-11.212318625,14,24
-0.6097661256790161,0.8853271007537842,12,-5.731906890869141,42.333333333333336,407,0.0003,0.16666666666666666,0.05103781819343567,508,-9.808009083333333,23,21
-0.8404452204704285,0.8465888500213623,16,-6.5594482421875,41.0625,556,0.0003,0.25,0.10681121051311493,657,-8.6893349375,31,20
-1.1385027170181274,0.7972406148910522,20,-7.653735160827637,42.85,756,0.0003,0.2,0.19431795179843903,857,-9.461189050000002,47,18
-1.443962812423706,0.7507838010787964,24,-8.756892204284668,44.041666666666664,956,0.0003,0.16666666666666666,0.054657526314258575,1057,-9.914144,63,16
-1.7195103168487549,0.7117342352867126,28,-9.519693374633789,44.107142857142854,1134,0.0003,0.17857142857142858,0.5063191652297974,1235,-9.734747107142857,74,16
-2.0173637866973877,0.6702799797058105,32,-10.52602767944336,44.84375,1334,0.0003,0.15625,0.07568097114562988,1435,-9.821836718750001,87,16
-2.3169126510620117,0.6312558650970459,36,-11.207132339477539,45.416666666666664,1534,0.0003,0.1388888888888889,0.5015465021133423,1635,-10.39862838888889,100,16
-2.5509846210479736,0.6016983389854431,40,-11.936705589294434,44.875,1694,0.0003,0.15,0.40304791927337646,1795,-10.41520635,111,16
-2.738344192504883,0.5825527906417847,44,-12.14562702178955,43.25,1802,0.0003,0.18181818181818182,0.10506495833396912,1903,-10.103431068181818,118,16
-2.873169183731079,0.5618349313735962,48,-12.597823143005371,42.166666666666664,1923,0.0003,0.20833333333333334,0.13624736666679382,2024,-9.743642104166668,125,16
-3.2077555656433105,0.5292159914970398,52,-13.052522659301758,42.76923076923077,2123,0.0003,0.19230769230769232,1.9129618406295776,2224,-9.884499903846155,144,15
-3.4346401691436768,0.504805862903595,56,-13.680194854736328,42.535714285714285,2281,0.0003,0.19642857142857142,0.6532958745956421,2382,-9.688944535714285,155,15
-3.693326473236084,0.47557565569877625,60,-14.223209381103516,43.03333333333333,2481,0.0003,0.18333333333333332,0.6371790170669556,2582,-10.015791116666664,177,14
-3.92288875579834,0.4544876515865326,64,-14.52329158782959,42.71875,2633,0.0003,0.1875,0.14241549372673035,2734,-9.973551593749999,190,14
-4.18055534362793,0.4288252592086792,68,-14.978447914123535,43.0735294117647,2828,0.0003,0.19117647058823528,0.1260443925857544,2929,-10.133604926470586,207,14
-4.466775894165039,0.4098502993583679,72,-15.295822143554688,42.791666666666664,2980,0.0003,0.19444444444444445,0.14997723698616028,3081,-10.127919583333332,218,14
-4.694512367248535,0.38620609045028687,76,-15.708860397338867,43.171052631578945,3180,0.0003,0.18421052631578946,0.13731250166893005,3281,-10.263038171052631,238,13
-4.955034255981445,0.36392781138420105,80,-15.86516284942627,43.5125,3380,0.0003,0.175,1.2625705003738403,3481,-10.33956645,271,12
-5.257053852081299,0.3429523706436157,84,-16.093711853027344,43.82142857142857,3580,0.0003,0.16666666666666666,1.1864159107208252,3681,-10.46066301190476,297,12
-5.40480375289917,0.33105894923210144,88,-16.218345642089844,43.18181818181818,3699,0.0003,0.18181818181818182,1.1927685737609863,3800,-10.327189102272728,312,12
-5.656719207763672,0.31645628809928894,92,-16.3535213470459,42.95652173913044,3851,0.0003,0.18478260869565216,0.13801302015781403,3952,-10.44884479347826,328,12
-5.884911060333252,0.2982455790042877,96,-16.49774169921875,43.25,4051,0.0003,0.17708333333333334,0.13896343111991882,4152,-10.422851593749998,346,11
-6.1734395027160645,0.2810766100883484,100,-16.602432250976562,43.52,4251,0.0003,0.17,0.2652912735939026,4352,-10.462675269999998,361,12
-6.358116626739502,0.2674977779388428,104,-16.802778244018555,43.62,4418,0.0003,0.17,1.4720849990844727,4519,-10.436907899999996,374,12
-6.610568046569824,0.25215214490890503,108,-16.845298767089844,43.62,4618,0.0003,0.17,0.16612228751182556,4719,-10.35038192,388,12
-6.867438316345215,0.24084174633026123,112,-16.82198143005371,43.67,4774,0.0003,0.17,0.15109974145889282,4875,-10.477904559999999,400,12
-7.063413619995117,0.22707819938659668,116,-16.99559783935547,44.18,4974,0.0003,0.15,0.1824290156364441,5075,-10.738907730000003,415,12
-7.385025501251221,0.21578000485897064,120,-17.065643310546875,43.92,5148,0.0003,0.16,0.1470426470041275,5249,-10.63835489,430,12
-7.364392280578613,0.20350144803524017,124,-16.77031707763672,43.92,5348,0.0003,0.16,0.1809719204902649,5449,-10.620660990000001,453,12
-7.750884056091309,0.1919424831867218,128,-16.855026245117188,44.14,5548,0.0003,0.15,0.9658013582229614,5649,-10.68156255,474,11
-8.004525184631348,0.1815832257270813,132,-16.967180252075195,44.04,5738,0.0003,0.16,0.15986618399620056,5839,-10.610987690000004,495,11
-8.339083671569824,0.17128749191761017,136,-16.91755485534668,44.04,5938,0.0003,0.16,1.7214961051940918,6039,-10.533914590000002,524,11
-8.263323783874512,0.16157440841197968,140,-16.923839569091797,44.44,6138,0.0003,0.15,0.29913100600242615,6239,-10.59120903,561,11
-8.637430191040039,0.15242579579353333,144,-16.7978458404541,45.36,6338,0.0003,0.13,0.5698251128196716,6439,-10.725984780000001,585,11
