rollout/ep_len_mean,time/episodes,train/critic_loss,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/actor_loss,time/fps,train/ent_coef_loss,rollout/success_rate,time/time_elapsed,train/ent_coef
50.0,4,0.031878694891929626,99,-50.0,200,0.002,-2.7689599990844727,22,-0.9927845001220703,0.0,8,0.8219811916351318
50.0,8,0.009956147521734238,299,-50.0,400,0.002,-1.998442530632019,13,-3.0217666625976562,0.0,29,0.5508538484573364
50.0,12,0.00635138712823391,499,-50.0,600,0.002,-1.1677584648132324,13,-5.049020767211914,0.0,45,0.3692226707935333
50.0,16,0.002930866554379463,699,-50.0,800,0.002,-0.17995476722717285,13,-7.0509209632873535,0.0,61,0.2474711835384369
47.55,20,0.0027559464797377586,850,-47.5,951,0.002,0.4413224458694458,12,-8.60390853881836,0.05,73,0.18295474350452423
47.958333333333336,24,0.0010458137840032578,1050,-47.916666666666664,1151,0.002,1.273896336555481,13,-10.597736358642578,0.041666666666666664,88,0.12263159453868866
45.0,28,0.010867016389966011,1159,-44.892857142857146,1260,0.002,1.718377947807312,13,-11.651147842407227,0.10714285714285714,95,0.09860726445913315
42.09375,32,0.013755488209426403,1246,-41.90625,1347,0.002,2.106522798538208,13,-12.557453155517578,0.1875,101,0.08286289125680923
42.583333333333336,36,0.020546836778521538,1432,-42.388888888888886,1533,0.002,2.8451151847839355,13,-14.1060209274292,0.19444444444444445,117,0.05725548416376114
43.325,40,0.04243966192007065,1632,-43.15,1733,0.002,3.71195387840271,12,-12.731270790100098,0.175,140,0.03981653228402138
42.90909090909091,44,0.015642311424016953,1787,-42.72727272727273,1888,0.002,4.341935157775879,12,-13.359209060668945,0.18181818181818182,151,0.030607037246227264
43.5,48,0.02716032788157463,1987,-43.333333333333336,2088,0.002,5.151937007904053,12,-10.139449119567871,0.16666666666666666,161,0.02304898016154766
44.0,52,0.03145904093980789,2187,-43.84615384615385,2288,0.002,5.912198543548584,13,-10.61046028137207,0.15384615384615385,172,0.018395444378256798
44.42857142857143,56,0.08895868062973022,2387,-44.285714285714285,2488,0.002,6.58226203918457,13,-7.798478603363037,0.14285714285714285,182,0.01489221304655075
44.416666666666664,60,0.02451511099934578,2564,-44.266666666666666,2665,0.002,7.084113121032715,13,-7.2679948806762695,0.15,191,0.012931029312312603
44.765625,64,0.05898606777191162,2764,-44.625,2865,0.002,7.776904582977295,14,-5.424047470092773,0.140625,203,0.011179006658494473
45.0735294117647,68,0.02392168715596199,2964,-44.94117647058823,3065,0.002,8.10992431640625,14,-2.339292526245117,0.1323529411764706,215,0.010053255595266819
45.34722222222222,72,0.03704426810145378,3164,-45.22222222222222,3265,0.002,8.47891616821289,13,-1.4139211177825928,0.125,237,0.009267019107937813
45.5921052631579,76,0.03343568742275238,3364,-45.473684210526315,3465,0.002,9.210578918457031,13,-0.4680188000202179,0.11842105263157894,262,0.008885621093213558
45.8125,80,0.03541228547692299,3564,-45.7,3665,0.002,9.789600372314453,12,0.2989569902420044,0.1125,296,0.00885342713445425
46.01190476190476,84,0.02677229791879654,3764,-45.904761904761905,3865,0.002,10.199345588684082,12,-0.08722183108329773,0.10714285714285714,313,0.008895281702280045
45.65909090909091,88,0.06537474691867828,3917,-45.54545454545455,4018,0.002,10.591890335083008,12,-0.11351856589317322,0.11363636363636363,328,0.008991703391075134
45.84782608695652,92,0.053543709218502045,4117,-45.73913043478261,4218,0.002,11.030552864074707,12,0.4286746382713318,0.10869565217391304,348,0.009160343557596207
46.020833333333336,96,0.04692927375435829,4317,-45.916666666666664,4418,0.002,11.512327194213867,11,1.390217661857605,0.10416666666666667,369,0.009654590860009193
45.77,100,0.0542365238070488,4476,-45.66,4577,0.002,11.976969718933105,11,0.6816575527191162,0.11,385,0.01017569936811924
45.77,104,0.076890729367733,4676,-45.66,4777,0.002,12.361373901367188,11,-2.6047523021698,0.11,406,0.010259558446705341
45.77,108,0.10604511201381683,4876,-45.66,4977,0.002,12.807869911193848,11,-0.47723275423049927,0.11,425,0.010427082888782024
45.77,112,0.07811762392520905,5076,-45.66,5177,0.002,13.142951011657715,11,0.5281239748001099,0.11,440,0.010911217890679836
45.28,116,0.07065399736166,5227,-45.16,5328,0.002,13.595301628112793,11,1.7914668321609497,0.12,458,0.011696046218276024
45.77,120,0.07618407905101776,5427,-45.66,5528,0.002,14.059473991394043,11,-0.4687541425228119,0.11,480,0.012399040162563324
45.29,124,0.08335764706134796,5579,-45.17,5680,0.002,14.041321754455566,11,1.3304619789123535,0.12,499,0.012645041570067406
45.71,128,0.05124823376536369,5730,-45.6,5831,0.002,15.135101318359375,11,0.5121198892593384,0.11,516,0.012810464017093182
46.39,132,0.09475786238908768,5885,-46.3,5986,0.002,15.40542221069336,11,0.032359980046749115,0.09,537,0.013092830777168274
45.9,136,0.10890214145183563,6022,-45.8,6123,0.002,14.927427291870117,10,1.498612403869629,0.1,557,0.013912909664213657
45.46,140,0.10196495801210403,6178,-45.35,6279,0.002,15.395155906677246,10,1.6521153450012207,0.11,571,0.015365580096840858
45.44,144,0.10283906757831573,6331,-45.33,6432,0.002,15.897594451904297,11,0.21535930037498474,0.11,580,0.016096917912364006
45.44,148,0.12862923741340637,6531,-45.33,6632,0.002,16.160627365112305,11,0.9275032877922058,0.11,591,0.019826892763376236
44.95,152,0.16799968481063843,6682,-44.83,6783,0.002,16.05018424987793,11,-0.07693588733673096,0.12,606,0.02146460860967636
44.61,156,0.8497302532196045,6848,-44.48,6949,0.002,16.5604248046875,11,-0.9473749399185181,0.13,619,0.023009849712252617
