train/actor_loss,train/n_updates,time/episodes,time/time_elapsed,time/total_timesteps,train/critic_loss,rollout/success_rate,time/fps,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,rollout/ep_rew_mean
-3.4567160606384277,99,4,17,200,0.28220245242118835,0.0,11,-0.14778560400009155,50.0,0.9710330963134766,0.0003,-50.0
-4.161232948303223,299,8,55,400,0.18414974212646484,0.0,7,-0.45095881819725037,50.0,0.9144954681396484,0.0003,-50.0
-4.7904863357543945,499,12,100,600,0.20525197684764862,0.0,5,-0.7503616809844971,50.0,0.8612208962440491,0.0003,-50.0
-5.323657512664795,699,16,138,800,0.20286542177200317,0.0,5,-1.0581992864608765,50.0,0.8110643029212952,0.0003,-50.0
-5.894456386566162,899,20,174,1000,0.1812894195318222,0.0,5,-1.3552546501159668,50.0,0.7638218998908997,0.0003,-50.0
-6.263686656951904,1058,24,212,1159,0.1490696668624878,0.041666666666666664,5,-1.6025134325027466,48.291666666666664,0.7282455563545227,0.0003,-48.25
-6.68560266494751,1258,28,252,1359,0.16303229331970215,0.03571428571428571,5,-1.907923936843872,48.535714285714285,0.6858723759651184,0.0003,-48.5
-6.9236626625061035,1458,32,295,1559,0.17302924394607544,0.03125,5,-2.182816743850708,48.71875,0.6459845304489136,0.0003,-48.6875
-7.331548690795898,1658,36,329,1759,0.16266480088233948,0.027777777777777776,5,-2.5030441284179688,48.861111111111114,0.608454167842865,0.0003,-48.833333333333336
-7.699359893798828,1858,40,360,1959,0.21392205357551575,0.025,5,-2.781360149383545,48.975,0.5731362104415894,0.0003,-48.95
-7.774279594421387,2058,44,378,2159,0.15289358794689178,0.022727272727272728,5,-3.09145450592041,49.06818181818182,0.5399448275566101,0.0003,-49.04545454545455
-8.057402610778809,2258,48,400,2359,0.16428866982460022,0.020833333333333332,5,-3.3187692165374756,49.145833333333336,0.5087395310401917,0.0003,-49.125
-8.018797874450684,2458,52,443,2559,0.15172410011291504,0.019230769230769232,5,-3.621025562286377,49.21153846153846,0.4794020354747772,0.0003,-49.19230769230769
-8.297816276550293,2658,56,476,2759,0.1964961588382721,0.017857142857142856,5,-3.8984932899475098,49.267857142857146,0.4518546164035797,0.0003,-49.25
-8.318188667297363,2858,60,512,2959,0.17163273692131042,0.016666666666666666,5,-4.153449535369873,49.31666666666667,0.4259880483150482,0.0003,-49.3
-8.48615837097168,3035,64,544,3136,0.20405825972557068,0.03125,5,-4.3750529289245605,49.0,0.40444788336753845,0.0003,-48.96875
-8.251842498779297,3223,68,572,3324,0.1536729335784912,0.04411764705882353,5,-4.584977149963379,48.88235294117647,0.3828723430633545,0.0003,-48.838235294117645
-8.678085327148438,3423,72,608,3524,0.14981111884117126,0.041666666666666664,5,-4.85349702835083,48.94444444444444,0.36130157113075256,0.0003,-48.90277777777778
-8.494756698608398,3529,76,632,3630,0.24882373213768005,0.06578947368421052,5,-4.927061080932617,47.76315789473684,0.35042572021484375,0.0003,-47.69736842105263
-8.224101066589355,3729,80,653,3830,0.1916486918926239,0.0625,5,-5.1346869468688965,47.875,0.33084163069725037,0.0003,-47.8125
-8.096049308776855,3888,84,680,3989,0.33883240818977356,0.07142857142857142,5,-5.264452934265137,47.48809523809524,0.316156268119812,0.0003,-47.416666666666664
-7.676609992980957,4049,88,716,4150,0.17579549551010132,0.07954545454545454,5,-5.39211368560791,47.15909090909091,0.30199119448661804,0.0003,-47.07954545454545
-7.831812858581543,4201,92,755,4302,0.21421396732330322,0.08695652173913043,5,-5.452487468719482,46.76086956521739,0.2893044948577881,0.0003,-46.67391304347826
-7.577805042266846,4401,96,784,4502,0.31913983821868896,0.08333333333333333,5,-5.638713836669922,46.895833333333336,0.2735466957092285,0.0003,-46.8125
-7.528806686401367,4601,100,802,4702,0.18601348996162415,0.08,5,-5.790899276733398,47.02,0.25877368450164795,0.0003,-46.94
-7.130925178527832,4801,104,815,4902,0.18872466683387756,0.08,6,-5.673958778381348,47.02,0.2449621707201004,0.0003,-46.94
-7.80592155456543,4960,108,828,5061,0.16714215278625488,0.09,6,-5.559682846069336,46.61,0.2345786988735199,0.0003,-46.52
-7.6932549476623535,5160,112,850,5261,0.1788000762462616,0.09,6,-6.035836219787598,46.61,0.22224794328212738,0.0003,-46.52
-7.435845851898193,5360,116,879,5461,0.1689843386411667,0.09,6,-5.938411712646484,46.61,0.2106715887784958,0.0003,-46.52
-7.050921440124512,5520,120,894,5621,0.16496318578720093,0.1,6,-6.470600128173828,46.21,0.20185619592666626,0.0003,-46.11
-7.133101463317871,5631,124,913,5732,0.5021750926971436,0.11,6,-6.00461483001709,45.73,0.19598376750946045,0.0003,-45.62
-6.936558723449707,5811,128,952,5912,0.18373465538024902,0.12,6,-5.970390796661377,45.53,0.1868286430835724,0.0003,-45.41
-6.4864044189453125,6011,132,993,6112,0.21270310878753662,0.12,6,-6.270745277404785,45.53,0.177161306142807,0.0003,-45.41
-6.400282382965088,6211,136,1030,6312,0.21256908774375916,0.12,6,-6.01876163482666,45.53,0.16804510354995728,0.0003,-45.41
-6.067516326904297,6284,140,1041,6385,0.3144856095314026,0.15,6,-6.352534294128418,44.26,0.16483066976070404,0.0003,-44.11
-6.260085105895996,6439,144,1066,6540,0.17581185698509216,0.16,6,-6.036263942718506,43.81,0.15817128121852875,0.0003,-43.65
-6.3239312171936035,6554,148,1083,6655,0.189564049243927,0.18,6,-6.191145896911621,42.96,0.15340447425842285,0.0003,-42.78
