rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,train/n_updates,train/critic_loss,train/actor_loss,rollout/success_rate,train/learning_rate
-16.63410175,29,40.0,4,5,160,59,0.010232724249362946,0.17943935096263885,0.25,0.001
-22.1786865,71,45.0,8,5,360,259,0.002493791515007615,0.3696724474430084,0.125,0.001
-20.131605166666667,132,46.666666666666664,12,4,560,459,0.0009279586374759674,0.45213231444358826,0.08333333333333333,0.001
-19.13452375,197,47.5,16,3,760,659,0.0008215662674047053,0.5248922109603882,0.0625,0.001
-17.5377036,238,45.65,20,3,913,812,0.0008222970645874739,0.4981768727302551,0.1,0.001
-16.698281625,281,46.375,24,3,1113,1012,0.0013588067376986146,0.5410796999931335,0.08333333333333333,0.001
-15.336192964285717,328,46.892857142857146,28,3,1313,1212,0.0011386610567569733,0.5398263335227966,0.07142857142857142,0.001
-14.054457500000002,353,44.8125,32,4,1434,1333,0.0015242579393088818,0.6100135445594788,0.125,0.001
-13.123397222222223,401,44.02777777777778,36,3,1585,1484,0.0015228501288220286,0.5399433374404907,0.1388888888888889,0.001
-11.856300874999999,408,40.15,40,3,1606,1505,0.0010788515210151672,0.5042037963867188,0.225,0.001
-11.123351068181817,445,38.95454545454545,44,3,1714,1613,0.001949323108419776,0.4927661418914795,0.25,0.001
-10.8872984375,479,39.875,48,3,1914,1813,0.0015510255470871925,0.5749709606170654,0.22916666666666666,0.001
-10.177470865384617,490,38.46153846153846,52,4,2000,1899,0.0011324991937726736,0.5320220589637756,0.2692307692307692,0.001
-9.528933339285715,497,36.69642857142857,56,4,2055,1954,0.001367638586089015,0.5786446332931519,0.32142857142857145,0.001
-9.02054125,508,35.28333333333333,60,4,2117,2016,0.0012702425010502338,0.5878551006317139,0.35,0.001
-8.5737820625,522,34.234375,64,4,2191,2090,0.0016603164840489626,0.5918969511985779,0.375,0.001
-8.23006419117647,537,33.35294117647059,68,4,2268,2167,0.003166802227497101,0.48207706212997437,0.39705882352941174,0.001
-8.078919208333335,552,33.041666666666664,72,4,2379,2278,0.0015620910562574863,0.6141954660415649,0.4027777777777778,0.001
-7.703574210526317,559,31.86842105263158,76,4,2422,2321,0.0019578642677515745,0.4777553081512451,0.4342105263157895,0.001
