train/n_updates,rollout/success_rate,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/learning_rate,train/actor_loss,time/time_elapsed,time/fps
3282,0.98,284,3383,-0.56055213,0.0007234611548483372,5.62,0.001,0.20706604421138763,556,6
3301,0.98,288,3402,-0.54820793,0.0005742734647355974,5.43,0.001,0.15443181991577148,558,6
3316,0.98,292,3417,-0.5430266600000001,0.0006928013754077256,5.4,0.001,0.1836666464805603,560,6
3338,0.98,296,3439,-0.54726932,0.0005638276925310493,5.43,0.001,0.1834741234779358,563,6
3364,0.98,300,3465,-0.56061902,0.0006242539384402335,5.53,0.001,0.16139569878578186,566,6
3385,0.98,304,3486,-0.5562900499999999,0.0008094435324892402,5.49,0.001,0.1492975652217865,570,6
3398,0.98,308,3499,-0.54841386,0.0009945076890289783,5.44,0.001,0.23525086045265198,572,6
3413,0.98,312,3514,-0.54978356,0.0005733952857553959,5.47,0.001,0.20211689174175262,575,6
3431,0.98,316,3532,-0.5532886699999999,0.00043987276148982346,5.5,0.001,0.1792745590209961,579,6
3453,0.98,320,3554,-0.55863994,0.0005550856585614383,5.53,0.001,0.15414153039455414,582,6
3468,0.99,324,3569,-0.50540198,0.0005221024621278048,5.03,0.001,0.15770192444324493,584,6
3487,0.99,328,3588,-0.5066281699999999,0.0005317575414665043,5.02,0.001,0.1877179592847824,587,6
3504,0.99,332,3605,-0.5108206499999999,0.00040067642112262547,5.03,0.001,0.14088602364063263,591,6
3526,0.99,336,3627,-0.52232576,0.00042434889473952353,5.09,0.001,0.19274279475212097,594,6
3543,0.99,340,3644,-0.5158412400000001,0.00043903669575229287,5.05,0.001,0.17205065488815308,597,6
3561,0.99,344,3662,-0.5145435899999999,0.0005046793958172202,5.03,0.001,0.14306047558784485,600,6
3581,0.99,348,3682,-0.50954289,0.0004435871378518641,4.98,0.001,0.15270568430423737,603,6
3612,0.99,352,3713,-0.5284875,0.000578150968067348,5.16,0.001,0.18605729937553406,609,6
3633,0.99,356,3734,-0.54283216,0.0004390330286696553,5.24,0.001,0.1515350192785263,614,6
3645,0.99,360,3746,-0.5296291700000001,0.0005407340358942747,5.17,0.001,0.1652679592370987,620,6
3662,0.99,364,3763,-0.52057663,0.0003426293842494488,5.13,0.001,0.15371641516685486,623,6
3681,0.99,368,3782,-0.5211719100000001,0.00042800523806363344,5.12,0.001,0.14204640686511993,629,6
3698,0.99,372,3799,-0.5314741599999999,0.0004980043740943074,5.18,0.001,0.13616028428077698,635,5
3712,0.99,376,3813,-0.52851041,0.000390561850508675,5.15,0.001,0.13879267871379852,637,5
3726,0.99,380,3827,-0.51296941,0.0004248529439792037,5.06,0.001,0.13897261023521423,640,5
3742,1.0,384,3843,-0.48273997,0.00032812534482218325,4.6,0.001,0.11268359422683716,648,5
3763,1.0,388,3864,-0.4887168300000001,0.0003998314496129751,4.62,0.001,0.1398399919271469,652,5
3781,1.0,392,3882,-0.49457308,0.00040222436655312777,4.65,0.001,0.153718039393425,655,5
3800,1.0,396,3901,-0.49170842,0.0003427328774705529,4.62,0.001,0.12027962505817413,659,5
3826,1.0,400,3927,-0.4888794,0.0004011061682831496,4.62,0.001,0.148202583193779,664,5
3843,1.0,404,3944,-0.48174408,0.00034655549097806215,4.58,0.001,0.17789991199970245,670,5
3863,1.0,408,3964,-0.4937290500000001,0.0005147968768142164,4.65,0.001,0.18006402254104614,675,5
3880,1.0,412,3981,-0.49839154999999996,0.000583703862503171,4.67,0.001,0.16345302760601044,678,5
3946,0.99,416,4047,-0.5365136399999999,0.0003554043942131102,5.15,0.001,0.1393604874610901,688,5
3965,0.99,420,4066,-0.52946388,0.0004091951996088028,5.12,0.001,0.15823766589164734,692,5
3988,0.99,424,4089,-0.5414703200000001,0.00039779231883585453,5.2,0.001,0.15874379873275757,695,5
4003,0.99,428,4104,-0.5357335400000001,0.0003609793493524194,5.16,0.001,0.133566752076149,698,5
4024,0.99,432,4125,-0.5386650799999999,0.00042445704457350075,5.2,0.001,0.12403963506221771,702,5
4045,0.99,436,4146,-0.5355821500000001,0.0003540052566677332,5.19,0.001,0.12230156362056732,708,5
4063,0.99,440,4164,-0.53884494,0.0003347132878843695,5.2,0.001,0.14906801283359528,710,5
4080,0.99,444,4181,-0.53172258,0.00045111309736967087,5.19,0.001,0.13604925572872162,713,5
4100,0.99,448,4201,-0.5285585500000001,0.0003203951637260616,5.19,0.001,0.16355954110622406,717,5
4118,0.99,452,4219,-0.51745209,0.00038820531335659325,5.06,0.001,0.13895249366760254,720,5
4133,0.99,456,4234,-0.50510654,0.0004647093010134995,5.0,0.001,0.14393822848796844,722,5
4151,0.99,460,4252,-0.51357371,0.00033047274337150156,5.06,0.001,0.125722274184227,724,5
4175,0.99,464,4276,-0.5235952899999998,0.00045079088886268437,5.13,0.001,0.1626916378736496,729,5
4196,0.99,468,4297,-0.5210245199999999,0.00029778870521113276,5.15,0.001,0.1396697610616684,732,5
4211,0.99,472,4312,-0.51756277,0.0004497750196605921,5.13,0.001,0.11154944449663162,733,5
4230,0.99,476,4331,-0.5260040699999999,0.00034036303986795247,5.18,0.001,0.1336963027715683,736,5
4248,0.99,480,4349,-0.5328930799999998,0.0004032547876704484,5.22,0.001,0.19205300509929657,738,5
4262,0.99,484,4363,-0.52529747,0.0002634736883919686,5.2,0.001,0.11717170476913452,740,5
4278,0.99,488,4379,-0.51875259,0.0003991329576820135,5.15,0.001,0.164808988571167,743,5
4297,0.99,492,4398,-0.5227357199999999,0.000372545444406569,5.16,0.001,0.1486186385154724,745,5
4315,0.99,496,4416,-0.5174063500000001,0.00028708812897093594,5.15,0.001,0.10902794450521469,747,5
4331,0.99,500,4432,-0.50779752,0.0002865648129954934,5.05,0.001,0.10828976333141327,749,5
4345,0.99,504,4446,-0.50432513,0.0002928510366473347,5.02,0.001,0.11662085354328156,750,5
4359,0.99,508,4460,-0.49423064000000005,0.0002680053876247257,4.96,0.001,0.10883833467960358,752,5
4374,0.99,512,4475,-0.48931235,0.0003562791971489787,4.94,0.001,0.15073254704475403,753,5
4401,1.0,516,4502,-0.46050262,0.0003847546176984906,4.55,0.001,0.16674073040485382,758,5
4415,1.0,520,4516,-0.45473062,0.0004834532446693629,4.5,0.001,0.12382732331752777,760,5
4432,1.0,524,4533,-0.4455897,0.0003037169517483562,4.44,0.001,0.15469427406787872,762,5
4452,1.0,528,4553,-0.45492004999999996,0.00028877067961730063,4.49,0.001,0.12820476293563843,766,5
4470,1.0,532,4571,-0.4489397800000001,0.00036400361568666995,4.46,0.001,0.17820347845554352,769,5
4486,1.0,536,4587,-0.44279008000000003,0.00045899717952124774,4.41,0.001,0.12941309809684753,772,5
4501,1.0,540,4602,-0.4349301,0.00024131116515491158,4.38,0.001,0.13895563781261444,776,5
4528,1.0,544,4629,-0.44858159000000003,0.0003214942989870906,4.48,0.001,0.13188408315181732,781,5
4545,1.0,548,4646,-0.44623033,0.0002968765620607883,4.45,0.001,0.14795470237731934,783,5
4561,1.0,552,4662,-0.44317486,0.00026700948365032673,4.43,0.001,0.11707863211631775,786,5
4580,1.0,556,4681,-0.45404592,0.0004127389402128756,4.47,0.001,0.11760783195495605,790,5
4607,1.0,560,4708,-0.46186626,0.00031087081879377365,4.56,0.001,0.13149720430374146,795,5
4619,1.0,564,4720,-0.44787952,0.00032986668520607054,4.44,0.001,0.11356907337903976,797,5
4638,1.0,568,4739,-0.4464995,0.00029514546622522175,4.42,0.001,0.09497998654842377,800,5
4658,1.0,572,4759,-0.45337145,0.00036864186404272914,4.47,0.001,0.11312857270240784,803,5
4672,1.0,576,4773,-0.44534599,0.0004555602790787816,4.42,0.001,0.10980036109685898,807,5
4685,1.0,580,4786,-0.4371924599999999,0.00029940911917947233,4.37,0.001,0.15085381269454956,810,5
4700,1.0,584,4801,-0.4412878399999999,0.00028966827085241675,4.38,0.001,0.09671948105096817,814,5
4715,1.0,588,4816,-0.4367439,0.00027816006331704557,4.37,0.001,0.12573787569999695,816,5
4727,1.0,592,4828,-0.4245279999999999,0.00032022452796809375,4.3,0.001,0.10658960789442062,820,5
4744,1.0,596,4845,-0.42471204999999995,0.000491985643748194,4.29,0.001,0.13603314757347107,823,5
4767,1.0,600,4868,-0.43048931,0.0003944503841921687,4.36,0.001,0.11982323229312897,826,5
4784,1.0,604,4885,-0.43692835,0.0005281392368488014,4.39,0.001,0.1577354520559311,829,5
4809,1.0,608,4910,-0.44536649999999994,0.0003218162164557725,4.5,0.001,0.10950371623039246,834,5
4829,1.0,612,4930,-0.4569558099999999,0.0003742620174307376,4.55,0.001,0.13764351606369019,839,5
4850,1.0,616,4951,-0.4547877699999999,0.00029890629230067134,4.49,0.001,0.09567710757255554,844,5
4868,1.0,620,4969,-0.4613197499999999,0.0002433773479424417,4.53,0.001,0.13167595863342285,852,5
4883,1.0,624,4984,-0.46040297,0.000339777470799163,4.51,0.001,0.13860787451267242,860,5
4900,1.0,628,5001,-0.45186418000000006,0.00029550990439020097,4.48,0.001,0.14332672953605652,869,5
4915,1.0,632,5016,-0.44951251,0.00032926161657087505,4.45,0.001,0.14346200227737427,875,5
4935,1.0,636,5036,-0.45426581,0.00039164756890386343,4.49,0.001,0.12921977043151855,882,5
4954,1.0,640,5055,-0.46028017000000004,0.00028086878592148423,4.53,0.001,0.11792382597923279,890,5
4967,1.0,644,5068,-0.44600144999999997,0.00041908142156898975,4.39,0.001,0.14724093675613403,895,5
4982,1.0,648,5083,-0.4483468099999999,0.0003837822878267616,4.37,0.001,0.12017165124416351,899,5
5003,1.0,652,5104,-0.45252123000000005,0.00037712216726504266,4.42,0.001,0.12877245247364044,903,5
5018,1.0,656,5119,-0.4453623,0.0002873400808311999,4.38,0.001,0.10545840114355087,906,5
5036,1.0,660,5137,-0.43895379999999995,0.0005063863354735076,4.29,0.001,0.14757663011550903,909,5
5050,1.0,664,5151,-0.44413999000000004,0.0003567205276340246,4.31,0.001,0.12621411681175232,911,5
5065,1.0,668,5166,-0.43784828,0.0002987159532494843,4.27,0.001,0.12815071642398834,914,5
5092,1.0,672,5193,-0.44315935999999995,0.0003724166890606284,4.34,0.001,0.14647072553634644,919,5
5110,1.0,676,5211,-0.44678454999999995,0.0002923615975305438,4.38,0.001,0.13924936950206757,923,5
5128,1.0,680,5229,-0.4556766400000001,0.00026743311900645494,4.43,0.001,0.14237287640571594,927,5
5143,1.0,684,5244,-0.45298150000000015,0.0002642489562276751,4.43,0.001,0.12481001764535904,929,5
5160,1.0,688,5261,-0.45542037999999996,0.0002808637800626457,4.45,0.001,0.10173125565052032,932,5
5184,1.0,692,5285,-0.46964196,0.00044165062718093395,4.57,0.001,0.12442303448915482,936,5
5202,1.0,696,5303,-0.46988143999999993,0.00024236342869699,4.58,0.001,0.10519278794527054,939,5
5216,1.0,700,5317,-0.46065846,0.00022097319015301764,4.49,0.001,0.13257645070552826,942,5
5232,1.0,704,5333,-0.4568882800000001,0.0002961119753308594,4.48,0.001,0.10103768855333328,945,5
5248,1.0,708,5349,-0.45036033000000003,0.0002568575437180698,4.39,0.001,0.124723881483078,948,5
5263,1.0,712,5364,-0.44108491999999994,0.0003404883318580687,4.34,0.001,0.12389813363552094,951,5
5279,1.0,716,5380,-0.43256485,0.0002892320044338703,4.29,0.001,0.11749027669429779,954,5
5295,1.0,720,5396,-0.4321843299999999,0.000249985750997439,4.27,0.001,0.12254129350185394,959,5
5307,1.0,724,5408,-0.4260639100000001,0.00026437282213009894,4.24,0.001,0.14582325518131256,965,5
5325,1.0,728,5426,-0.43053820000000004,0.000302704720525071,4.25,0.001,0.12526492774486542,969,5
