time/total_timesteps,train/n_updates,rollout/success_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate,time/time_elapsed
5334,5233,1.0,6,-0.46859159999999994,4.37,0.10710419714450836,0.00019705039449036121,712,0.001,861
5354,5253,1.0,6,-0.47135040000000006,4.39,0.12224510312080383,0.00025227703736163676,716,0.001,863
5366,5265,1.0,6,-0.46563053000000004,4.36,0.16331984102725983,0.00037745622103102505,720,0.001,865
5381,5280,1.0,6,-0.4660168899999999,4.36,0.1349824219942093,0.0005722567439079285,724,0.001,867
5400,5299,1.0,6,-0.46031229,4.32,0.15861745178699493,0.0003673786704894155,728,0.001,869
5416,5315,1.0,6,-0.45612383000000006,4.32,0.12637673318386078,0.00027679698541760445,732,0.001,871
5432,5331,1.0,6,-0.45370249,4.32,0.17656630277633667,0.00031672202749177814,736,0.001,872
5445,5344,1.0,6,-0.449228,4.27,0.14760735630989075,0.0002714555012062192,740,0.001,874
5464,5363,1.0,6,-0.4553929299999999,4.32,0.1561322659254074,0.0002963299339171499,744,0.001,877
5477,5376,1.0,6,-0.45517578999999997,4.32,0.1561354100704193,0.00028680588002316654,748,0.001,878
5492,5391,1.0,6,-0.45120266000000003,4.29,0.12436571717262268,0.00025332908262498677,752,0.001,880
5509,5408,1.0,6,-0.44531419,4.26,0.15387508273124695,0.00033202668419107795,756,0.001,882
5520,5419,1.0,6,-0.43710654000000004,4.2,0.16760669648647308,0.000437875249190256,760,0.001,883
5536,5435,1.0,6,-0.43025521999999994,4.14,0.09657090157270432,0.0004172489861957729,764,0.001,886
5550,5449,1.0,6,-0.42752599000000013,4.11,0.12296951562166214,0.0006241752998903394,768,0.001,889
5571,5470,1.0,6,-0.4287105500000001,4.14,0.1546739935874939,0.000833208963740617,772,0.001,891
5593,5492,1.0,6,-0.4349464900000001,4.2,0.19327418506145477,0.000535284576471895,776,0.001,894
5610,5509,1.0,6,-0.4318809000000001,4.2,0.15791039168834686,0.0002455826906953007,780,0.001,896
5626,5525,1.0,6,-0.42781507999999996,4.19,0.13430388271808624,0.00029439132777042687,784,0.001,898
5645,5544,1.0,6,-0.42552027,4.19,0.1193636879324913,0.00040164944948628545,788,0.001,901
5664,5563,1.0,6,-0.4290685100000001,4.23,0.11920215934515,0.0006908518844284117,792,0.001,906
5681,5580,1.0,6,-0.4217793100000001,4.2,0.11471830308437347,0.0011354869930073619,796,0.001,909
5698,5597,1.0,6,-0.42116359,4.19,0.19611729681491852,0.000507238379213959,800,0.001,913
5711,5610,1.0,6,-0.41354206,4.13,0.15926337242126465,0.0008824255783110857,804,0.001,915
5732,5631,1.0,6,-0.41433149,4.14,0.14478018879890442,0.00037217396311461926,808,0.001,920
5750,5649,1.0,6,-0.41919827000000004,4.16,0.15999871492385864,0.0002737593313213438,812,0.001,923
5766,5665,1.0,6,-0.41012370000000004,4.12,0.13612645864486694,0.00017494510393589735,816,0.001,925
5777,5676,1.0,6,-0.40826938000000007,4.11,0.15075244009494781,0.00018768612062558532,820,0.001,927
5788,5687,1.0,6,-0.40379052000000004,4.07,0.14565056562423706,0.000194492720765993,824,0.001,929
5807,5706,1.0,6,-0.40380763999999997,4.07,0.14039844274520874,0.0001882078795460984,828,0.001,934
5818,5717,1.0,6,-0.3994263,4.02,0.11835919320583344,0.0003281398967374116,832,0.001,935
5837,5736,1.0,6,-0.40361070999999993,4.05,0.14233297109603882,0.00021137561998330057,836,0.001,937
5899,5798,0.99,6,-0.44306835000000006,4.54,0.13948112726211548,0.00033820586395449936,840,0.001,949
5919,5818,0.99,6,-0.44684563,4.55,0.15239714086055756,0.0002247071242891252,844,0.001,953
5936,5835,0.99,6,-0.4572527899999999,4.59,0.17881296575069427,0.00026349254767410457,848,0.001,955
5947,5846,0.99,6,-0.45221784,4.55,0.15940198302268982,0.0003383817966096103,852,0.001,957
5961,5860,0.99,6,-0.44805227999999997,4.52,0.17649853229522705,0.00018550155800767243,856,0.001,959
5982,5881,0.99,6,-0.46044445,4.62,0.14058399200439453,0.00015751065802760422,860,0.001,965
5999,5898,0.99,6,-0.46275174999999996,4.63,0.15170210599899292,0.0002579130814410746,864,0.001,969
6015,5914,0.99,6,-0.46225447000000003,4.65,0.11540448665618896,0.00017427168495487422,868,0.001,973
6028,5927,0.99,6,-0.4511134899999999,4.57,0.13851392269134521,0.00036819378146901727,872,0.001,979
6049,5948,0.99,6,-0.4540150799999999,4.56,0.13202007114887238,0.00021759659284725785,876,0.001,985
6067,5966,0.99,6,-0.45379065999999996,4.57,0.13843880593776703,0.00018611950508784503,880,0.001,988
6089,5988,0.99,6,-0.4611884799999999,4.63,0.13037165999412537,0.00016203284030780196,884,0.001,994
6107,6006,0.99,6,-0.46277243,4.62,0.16580504179000854,0.0001815553696360439,888,0.001,997
6122,6021,0.99,6,-0.45710768,4.58,0.13435044884681702,0.00018935074331238866,892,0.001,999
6140,6039,0.99,6,-0.46059363999999997,4.59,0.17391720414161682,0.0001979400694835931,896,0.001,1003
6156,6055,0.99,6,-0.45702343999999995,4.58,0.13517189025878906,0.00019240521942265332,900,0.001,1006
6170,6069,0.99,6,-0.45912593000000007,4.59,0.14604191482067108,0.00016631203470751643,904,0.001,1010
6185,6084,0.99,6,-0.45139603,4.53,0.09741929173469543,0.00019027877715416253,908,0.001,1015
6202,6101,0.99,6,-0.44927995,4.52,0.1925429105758667,0.00020728979143314064,912,0.001,1017
6220,6119,0.99,6,-0.45684021,4.54,0.1718405783176422,0.0003075837157666683,916,0.001,1021
6231,6130,0.99,6,-0.45622862999999986,4.54,0.15720567107200623,0.0003350885526742786,920,0.001,1024
6246,6145,0.99,6,-0.45939372999999994,4.58,0.1738489866256714,0.0001872299617389217,924,0.001,1029
6262,6161,0.99,6,-0.45792488000000003,4.55,0.13071152567863464,0.00021949975052848458,928,0.001,1033
6286,6185,0.99,6,-0.4766759199999999,4.68,0.14785920083522797,0.0004426240921020508,932,0.001,1039
6302,6201,0.99,6,-0.47209455999999994,4.65,0.131734699010849,0.00021283808746375144,936,0.001,1044
6320,6219,1.0,6,-0.4395392900000001,4.21,0.11248482763767242,0.00027034347294829786,940,0.001,1049
6340,6239,1.0,6,-0.44098677000000003,4.21,0.138985738158226,0.0003433095116633922,944,0.001,1053
6356,6255,1.0,6,-0.43897713000000005,4.2,0.13339374959468842,0.00021125265629962087,948,0.001,1055
6370,6269,1.0,6,-0.44423339000000006,4.23,0.13118475675582886,0.0003550826804712415,952,0.001,1057
6385,6284,1.0,6,-0.44957132,4.24,0.13165982067584991,0.0004858863539993763,956,0.001,1063
6400,6299,1.0,6,-0.4436154499999999,4.18,0.1428704410791397,0.0003238619538024068,960,0.001,1065
6418,6317,1.0,6,-0.44456281999999997,4.19,0.13924245536327362,0.0006791297346353531,964,0.001,1068
6432,6331,1.0,6,-0.44169232,4.17,0.1621771603822708,0.0006812915089540184,968,0.001,1070
6449,6348,1.0,6,-0.44999135,4.21,0.12997448444366455,0.00028760256827808917,972,0.001,1073
6461,6360,1.0,6,-0.43417367999999995,4.12,0.14638592302799225,0.0003248674620408565,976,0.001,1076
6478,6377,1.0,6,-0.43598776000000006,4.11,0.0957413837313652,0.00021721764642279595,980,0.001,1079
6494,6393,1.0,6,-0.42883848,4.05,0.1453574299812317,0.00020052978652529418,984,0.001,1082
6512,6411,1.0,5,-0.42548079,4.05,0.10281418263912201,0.00017864837718661875,988,0.001,1085
6530,6429,1.0,5,-0.43462057000000004,4.08,0.13936971127986908,0.0002127074112650007,992,0.001,1088
6543,6442,1.0,5,-0.42655755999999995,4.03,0.17376457154750824,0.0003346328448969871,996,0.001,1091
6564,6463,1.0,5,-0.43491854,4.08,0.13286848366260529,0.0001644812145968899,1000,0.001,1097
6578,6477,1.0,5,-0.43397981,4.08,0.11796997487545013,0.00016974349273368716,1004,0.001,1099
6593,6492,1.0,5,-0.43311629,4.08,0.12547317147254944,0.00016234366921707988,1008,0.001,1101
6607,6506,1.0,5,-0.43043988000000005,4.05,0.14106346666812897,0.00022526162501890212,1012,0.001,1103
6626,6525,1.0,5,-0.43019792999999995,4.06,0.13879910111427307,0.0001910239807330072,1016,0.001,1106
6642,6541,1.0,5,-0.4367645499999999,4.11,0.19385316967964172,0.00018665153766050935,1020,0.001,1110
6660,6559,1.0,5,-0.44448979,4.14,0.15316253900527954,0.00013995538756716996,1024,0.001,1114
6674,6573,1.0,5,-0.43897157,4.12,0.14843465387821198,0.00024079361173789948,1028,0.001,1116
6693,6592,1.0,5,-0.43021122999999994,4.07,0.14487864077091217,0.00031106482492759824,1032,0.001,1119
